,W,"(0, 1)","(1, 0)"
0.015207981296729242,73.25,96.25,96.5
0.015277424133700609,73.25,96.25,96.5
0.015346866970671976,73.25,96.25,96.5
0.015416309807643342,73.25,96.25,96.5
0.015485752644614707,73.25,96.25,96.5
0.015555195481586074,73.25,96.25,96.5
0.01562463831855744,73.25,96.25,96.5
0.015694081155528807,73.25,96.25,96.5
0.015763523992500174,73.25,96.25,96.5
0.01583296682947154,73.25,96.25,96.5
0.015902409666442907,73.25,96.25,96.5
0.015971852503414274,73.25,96.25,96.5
0.01604129534038564,73.25,96.25,96.5
0.016110738177357007,73.25,96.25,96.5
0.016180181014328374,73.25,96.25,96.5
0.016249623851299737,73.25,96.25,96.5
0.016319066688271103,73.25,96.25,96.5
0.01638850952524247,73.25,96.25,96.5
0.016457952362213837,73.25,96.25,96.5
0.016527395199185203,73.25,96.25,96.5
0.01659683803615657,73.25,96.25,96.5
0.016666280873127937,73.25,96.25,96.5
0.016735723710099303,73.25,96.25,96.5
0.01680516654707067,73.25,96.25,96.5
0.016874609384042037,73.25,96.25,96.5
0.016944052221013403,73.25,96.25,96.5
0.01701349505798477,73.25,96.25,96.5
0.017082937894956136,73.25,96.25,96.5
0.017152380731927503,73.25,96.25,96.5
0.01722182356889887,73.25,96.25,96.5
0.017291266405870233,73.25,96.25,96.5
0.0173607092428416,73.25,96.25,96.5
0.017430152079812966,73.25,96.25,96.5
0.017499594916784333,73.25,96.25,96.5
0.0175690377537557,73.25,96.25,96.5
0.017638480590727066,73.25,96.25,96.5
0.017707923427698433,73.25,96.25,96.5
0.0177773662646698,73.25,96.25,96.5
0.017846809101641166,73.25,96.25,96.5
0.017916251938612533,73.25,96.25,96.5
0.0179856947755839,73.25,96.25,96.5
0.018055137612555266,73.25,96.25,96.5
0.018124580449526632,73.25,96.25,96.5
0.018194023286498,73.25,96.25,96.5
0.018263466123469366,73.25,96.25,96.5
0.01833290896044073,73.25,96.25,96.5
0.018402351797412096,73.25,96.25,96.5
0.018471794634383462,73.25,96.25,96.5
0.01854123747135483,73.25,96.25,96.5
0.018610680308326195,73.25,96.25,96.5
0.018680123145297562,73.25,96.25,96.5
0.01874956598226893,73.25,96.25,96.5
0.018819008819240295,73.25,96.25,96.5
0.018888451656211662,73.25,96.25,96.5
0.01895789449318303,73.25,96.25,96.5
0.019027337330154395,73.25,96.25,96.5
0.019096780167125762,73.25,96.25,96.5
0.01916622300409713,73.25,96.25,96.5
0.019235665841068495,73.25,96.25,96.5
0.019305108678039862,73.25,96.25,96.5
0.019374551515011225,73.25,96.25,96.5
0.01944399435198259,73.25,96.25,96.5
0.019513437188953958,73.25,96.25,96.5
0.019582880025925325,73.25,96.25,96.5
0.01965232286289669,73.25,96.25,96.5
0.019721765699868058,73.25,96.25,96.5
0.019791208536839425,73.25,96.25,96.5
0.01986065137381079,73.25,96.25,96.5
0.019930094210782158,73.25,96.25,96.5
0.019999537047753525,73.25,96.25,96.5
0.02006897988472489,73.25,96.25,96.5
0.020138422721696258,73.25,96.25,96.5
0.020207865558667625,73.25,96.25,96.5
0.02027730839563899,73.25,96.25,96.5
0.020346751232610358,73.25,96.25,96.5
0.02041619406958172,73.25,96.25,96.5
0.020485636906553088,73.25,96.25,96.5
0.020555079743524454,73.25,96.25,96.5
0.02062452258049582,73.25,96.25,96.5
0.020693965417467187,73.25,96.25,96.5
0.020763408254438554,73.25,96.25,96.5
0.02083285109140992,73.25,96.25,96.5
0.020902293928381287,73.25,96.25,96.5
0.020971736765352654,73.25,96.25,96.5
0.02104117960232402,73.25,96.25,96.5
0.021110622439295387,73.25,96.25,96.5
0.021180065276266754,73.25,96.25,96.5
0.02124950811323812,73.25,96.25,96.5
0.021318950950209487,73.25,96.25,96.5
0.021388393787180854,73.25,96.25,96.5
0.021457836624152217,73.25,96.25,96.5
0.021527279461123584,73.25,96.25,96.5
0.02159672229809495,73.25,96.25,96.5
0.021666165135066317,73.25,96.25,96.5
0.021735607972037684,73.25,96.25,96.5
0.02180505080900905,73.25,96.25,96.5
0.021874493645980417,73.25,96.25,96.5
0.021943936482951783,73.25,96.25,96.5
0.02201337931992315,73.25,96.25,96.5
0.022082822156894517,73.25,96.25,96.5
0.022152264993865883,73.25,96.25,96.5
0.02222170783083725,73.25,96.25,96.5
0.022291150667808617,73.25,96.25,96.5
0.022360593504779983,73.25,96.25,96.5
0.02243003634175135,73.25,96.25,96.5
0.022499479178722713,73.25,96.25,96.5
0.02256892201569408,73.25,96.25,96.5
0.022638364852665446,73.25,96.25,96.5
0.022707807689636813,73.25,96.25,96.5
0.02277725052660818,73.25,96.25,96.5
0.022846693363579546,73.25,96.25,96.5
0.022916136200550913,73.25,96.25,96.5
0.02298557903752228,73.25,96.25,96.5
0.023055021874493646,73.25,96.25,96.5
0.023124464711465013,73.25,96.25,96.5
0.02319390754843638,73.25,96.25,96.5
0.023263350385407746,73.25,96.25,96.5
0.023332793222379113,73.25,96.25,96.5
0.02340223605935048,73.25,96.25,96.5
0.023471678896321846,73.25,96.25,96.5
0.02354112173329321,73.25,96.25,96.5
0.023610564570264576,73.25,96.25,96.5
0.023680007407235942,73.25,96.25,96.5
0.02374945024420731,73.25,96.25,96.5
0.023818893081178676,73.25,96.25,96.5
